Date,Area,GEN,AGG,CNT
202002,서울 강서구,2,4,145
202002,서울 강서구,2,5,119
202002,서울 구로구,1,0,99
202002,서울 구로구,1,1,35
202002,서울 구로구,1,2,28
202002,서울 구로구,1,3,152
202002,서울 구로구,1,4,60
202002,서울 구로구,1,5,50
202002,서울 구로구,2,0,81
202002,서울 구로구,2,1,32
202002,서울 구로구,2,2,24
202002,서울 구로구,2,3,184
202002,서울 구로구,2,4,71
202002,서울 구로구,2,5,39
202002,서울 금천구,1,0,40
202002,서울 금천구,1,1,21
202002,서울 금천구,1,2,10
202002,서울 금천구,1,3,73
202002,서울 금천구,1,4,36
202002,서울 금천구,1,5,26
202002,서울 금천구,2,0,27
202002,서울 금천구,2,1,35
202002,서울 금천구,2,2,15
202002,서울 금천구,2,3,91
202002,서울 금천구,2,4,46
202002,서울 금천구,2,5,25
202002,서울 영등포구,1,0,110
202002,서울 영등포구,1,1,48
202002,서울 영등포구,1,2,30
202002,서울 영등포구,1,3,143
202002,서울 영등포구,1,4,68
202002,서울 영등포구,1,5,45
202002,서울 영등포구,2,0,91
202002,서울 영등포구,2,1,39
202002,서울 영등포구,2,2,26
202002,서울 영등포구,2,3,224
202002,서울 영등포구,2,4,86
202002,서울 영등포구,2,5,59
202002,서울 동작구,1,0,80
202002,서울 동작구,1,1,63
202002,서울 동작구,1,2,35
202002,서울 동작구,1,3,166
202002,서울 동작구,1,4,51
202002,서울 동작구,1,5,65
202002,서울 동작구,2,0,75
202002,서울 동작구,2,1,68
202002,서울 동작구,2,2,26
202002,서울 동작구,2,3,210
202002,서울 동작구,2,4,100
202002,서울 동작구,2,5,50
202002,서울 관악구,1,0,78
202002,서울 관악구,1,1,47
202002,서울 관악구,1,2,23
202002,서울 관악구,1,3,211
202002,서울 관악구,1,4,66
202002,서울 관악구,1,5,48
202002,서울 관악구,2,0,59
202002,서울 관악구,2,1,31
202002,서울 관악구,2,2,26
202002,서울 관악구,2,3,316
202002,서울 관악구,2,4,87
202002,서울 관악구,2,5,52
202002,서울 서초구,1,0,93
202002,서울 서초구,1,1,86
202002,서울 서초구,1,2,44
