Date,Area,GEN,AGG,CNT
202002,서울 동대문구,1,3,123
202002,서울 동대문구,1,4,151
202002,서울 동대문구,1,5,142
202002,서울 동대문구,2,0,84
202002,서울 동대문구,2,1,49
202002,서울 동대문구,2,2,14
202002,서울 동대문구,2,3,158
202002,서울 동대문구,2,4,169
202002,서울 동대문구,2,5,144
202002,서울 중랑구,1,0,91
202002,서울 중랑구,1,1,56
202002,서울 중랑구,1,2,18
202002,서울 중랑구,1,3,157
202002,서울 중랑구,1,4,174
202002,서울 중랑구,1,5,170
202002,서울 중랑구,2,0,70
202002,서울 중랑구,2,1,53
202002,서울 중랑구,2,2,20
202002,서울 중랑구,2,3,188
202002,서울 중랑구,2,4,259
202002,서울 중랑구,2,5,206
202002,서울 성북구,1,0,74
202002,서울 성북구,1,1,66
202002,서울 성북구,1,2,16
202002,서울 성북구,1,3,131
202002,서울 성북구,1,4,116
202002,서울 성북구,1,5,144
202002,서울 성북구,2,0,64
202002,서울 성북구,2,1,43
202002,서울 성북구,2,2,12
202002,서울 성북구,2,3,181
202002,서울 성북구,2,4,199
202002,서울 성북구,2,5,176
202002,서울 강북구,1,0,64
202002,서울 강북구,1,1,44
202002,서울 강북구,1,2,12
202002,서울 강북구,1,3,111
202002,서울 강북구,1,4,109
202002,서울 강북구,1,5,147
202002,서울 강북구,2,0,54
202002,서울 강북구,2,1,33
202002,서울 강북구,2,2,8
202002,서울 강북구,2,3,143
202002,서울 강북구,2,4,215
202002,서울 강북구,2,5,209
202002,서울 도봉구,1,0,81
202002,서울 도봉구,1,1,53
202002,서울 도봉구,1,2,15
202002,서울 도봉구,1,3,87
202002,서울 도봉구,1,4,107
202002,서울 도봉구,1,5,143
202002,서울 도봉구,2,0,44
202002,서울 도봉구,2,1,33
202002,서울 도봉구,2,2,8
202002,서울 도봉구,2,3,127
202002,서울 도봉구,2,4,184
202002,서울 도봉구,2,5,167
202002,서울 노원구,1,0,167
202002,서울 노원구,1,1,113
202002,서울 노원구,1,2,22
202002,서울 노원구,1,3,123
202002,서울 노원구,1,4,132
202002,서울 노원구,1,5,148
202002,서울 노원구,2,0,138
202002,서울 노원구,2,1,81
202002,서울 노원구,2,2,19
202002,서울 노원구,2,3,170
202002,서울 노원구,2,4,185
202002,서울 노원구,2,5,225
202002,서울 은평구,1,0,145
202002,서울 은평구,1,1,143
202002,서울 은평구,1,2,38
202002,서울 은평구,1,3,154
202002,서울 은평구,1,4,187
202002,서울 은평구,1,5,197
202002,서울 은평구,2,0,129
202002,서울 은평구,2,1,99
202002,서울 은평구,2,2,26
202002,서울 은평구,2,3,197
202002,서울 은평구,2,4,241
202002,서울 은평구,2,5,286
202002,서울 서대문구,1,0,58
202002,서울 서대문구,1,1,75
202002,서울 서대문구,1,2,19
202002,서울 서대문구,1,3,134
202002,서울 서대문구,1,4,126
202002,서울 서대문구,1,5,115
202002,서울 서대문구,2,0,51
202002,서울 서대문구,2,1,53
202002,서울 서대문구,2,2,18
202002,서울 서대문구,2,3,184
202002,서울 서대문구,2,4,202
202002,서울 서대문구,2,5,176
202002,서울 마포구,1,0,63
202002,서울 마포구,1,1,37
202002,서울 마포구,1,2,7
202002,서울 마포구,1,3,101
202002,서울 마포구,1,4,104
202002,서울 마포구,1,5,89
202002,서울 마포구,2,0,42
202002,서울 마포구,2,1,36
202002,서울 마포구,2,2,8
202002,서울 마포구,2,3,140
202002,서울 마포구,2,4,128
202002,서울 마포구,2,5,127
202002,서울 양천구,1,0,88
202002,서울 양천구,1,1,71
202002,서울 양천구,1,2,26
202002,서울 양천구,1,3,110
202002,서울 양천구,1,4,156
202002,서울 양천구,1,5,149
202002,서울 양천구,2,0,66
202002,서울 양천구,2,1,74
202002,서울 양천구,2,2,10
202002,서울 양천구,2,3,128
202002,서울 양천구,2,4,203
202002,서울 양천구,2,5,161
202002,서울 강서구,1,0,124
202002,서울 강서구,1,1,86
202002,서울 강서구,1,2,34
202002,서울 강서구,1,3,184
202002,서울 강서구,1,4,146
202002,서울 강서구,1,5,183
202002,서울 강서구,2,0,92
202002,서울 강서구,2,1,71
202002,서울 강서구,2,2,15
202002,서울 강서구,2,3,204
202002,서울 강서구,2,4,258
202002,서울 강서구,2,5,209
202002,서울 구로구,1,0,80
202002,서울 구로구,1,1,52
202002,서울 구로구,1,2,10
202002,서울 구로구,1,3,108
202002,서울 구로구,1,4,143
202002,서울 구로구,1,5,137
202002,서울 구로구,2,0,50
202002,서울 구로구,2,1,40
202002,서울 구로구,2,2,4
202002,서울 구로구,2,3,123
202002,서울 구로구,2,4,155
202002,서울 구로구,2,5,156
202002,서울 금천구,1,0,31
202002,서울 금천구,1,1,21
202002,서울 금천구,1,2,3
202002,서울 금천구,1,3,50
202002,서울 금천구,1,4,55
202002,서울 금천구,1,5,69
202002,서울 금천구,2,0,14
202002,서울 금천구,2,1,9
202002,서울 금천구,2,2,1
202002,서울 금천구,2,3,45
202002,서울 금천구,2,4,84
202002,서울 금천구,2,5,85
202002,서울 영등포구,1,0,81
202002,서울 영등포구,1,1,56
202002,서울 영등포구,1,2,12
202002,서울 영등포구,1,3,139
202002,서울 영등포구,1,4,131
202002,서울 영등포구,1,5,135
202002,서울 영등포구,2,0,60
202002,서울 영등포구,2,1,37
202002,서울 영등포구,2,2,10
202002,서울 영등포구,2,3,189
202002,서울 영등포구,2,4,167
202002,서울 영등포구,2,5,152
202002,서울 동작구,1,0,99
