Date,Area,GEN,AGG,CNT
202001,서울 동작구,2,2,228
202001,서울 동작구,2,3,4141
202001,서울 동작구,2,4,2976
202001,서울 동작구,2,5,1836
202001,서울 관악구,1,0,354
202001,서울 관악구,1,1,480
202001,서울 관악구,1,2,426
202001,서울 관악구,1,3,4912
202001,서울 관악구,1,4,2594
202001,서울 관악구,1,5,1794
202001,서울 관악구,2,0,358
202001,서울 관악구,2,1,430
202001,서울 관악구,2,2,347
202001,서울 관악구,2,3,6407
202001,서울 관악구,2,4,3672
202001,서울 관악구,2,5,2419
202001,서울 서초구,1,0,458
202001,서울 서초구,1,1,760
202001,서울 서초구,1,2,608
202001,서울 서초구,1,3,2932
202001,서울 서초구,1,4,2267
202001,서울 서초구,1,5,1269
202001,서울 서초구,2,0,423
202001,서울 서초구,2,1,635
202001,서울 서초구,2,2,518
202001,서울 서초구,2,3,4090
202001,서울 서초구,2,4,2733
202001,서울 서초구,2,5,1425
202001,서울 강남구,1,0,417
202001,서울 강남구,1,1,769
202001,서울 강남구,1,2,793
202001,서울 강남구,1,3,3710
202001,서울 강남구,1,4,2960
202001,서울 강남구,1,5,1432
202001,서울 강남구,2,0,431
202001,서울 강남구,2,1,653
202001,서울 강남구,2,2,670
202001,서울 강남구,2,3,5298
202001,서울 강남구,2,4,3475
202001,서울 강남구,2,5,1652
202001,서울 송파구,1,0,820
202001,서울 송파구,1,1,1010
202001,서울 송파구,1,2,764
202001,서울 송파구,1,3,5329
202001,서울 송파구,1,4,3779
202001,서울 송파구,1,5,2103
202001,서울 송파구,2,0,740
202001,서울 송파구,2,1,943
202001,서울 송파구,2,2,735
202001,서울 송파구,2,3,7289
202001,서울 송파구,2,4,5211
202001,서울 송파구,2,5,2397
202001,서울 강동구,1,0,595
202001,서울 강동구,1,1,749
202001,서울 강동구,1,2,451
202001,서울 강동구,1,3,3483
202001,서울 강동구,1,4,2571
202001,서울 강동구,1,5,1510
202001,서울 강동구,2,0,535
202001,서울 강동구,2,1,615
202001,서울 강동구,2,2,414
202001,서울 강동구,2,3,4641
202001,서울 강동구,2,4,3523
202001,서울 강동구,2,5,1814
202002,서울 종로구,1,0,75
202002,서울 종로구,1,1,112
202002,서울 종로구,1,2,72
202002,서울 종로구,1,3,563
202002,서울 종로구,1,4,432
202002,서울 종로구,1,5,293
202002,서울 종로구,2,0,72
202002,서울 종로구,2,1,109
202002,서울 종로구,2,2,89
202002,서울 종로구,2,3,744
202002,서울 종로구,2,4,596
202002,서울 종로구,2,5,350
202002,서울 중구,1,0,85
202002,서울 중구,1,1,97
202002,서울 중구,1,2,46
202002,서울 중구,1,3,416
202002,서울 중구,1,4,356
202002,서울 중구,1,5,254
202002,서울 중구,2,0,69
202002,서울 중구,2,1,91
202002,서울 중구,2,2,43
202002,서울 중구,2,3,637
202002,서울 중구,2,4,505
202002,서울 중구,2,5,296
202002,서울 용산구,1,0,142
202002,서울 용산구,1,1,158
202002,서울 용산구,1,2,131
202002,서울 용산구,1,3,822
202002,서울 용산구,1,4,609
202002,서울 용산구,1,5,346
202002,서울 용산구,2,0,130
202002,서울 용산구,2,1,146
202002,서울 용산구,2,2,113
202002,서울 용산구,2,3,1187
202002,서울 용산구,2,4,827
202002,서울 용산구,2,5,477
202002,서울 성동구,1,0,273
202002,서울 성동구,1,1,268
202002,서울 성동구,1,2,156
202002,서울 성동구,1,3,1246
202002,서울 성동구,1,4,814
202002,서울 성동구,1,5,444
202002,서울 성동구,2,0,227
202002,서울 성동구,2,1,255
202002,서울 성동구,2,2,145
202002,서울 성동구,2,3,1772
202002,서울 성동구,2,4,1156
202002,서울 성동구,2,5,544
202002,서울 광진구,1,0,187
202002,서울 광진구,1,1,313
202002,서울 광진구,1,2,185
202002,서울 광진구,1,3,1468
202002,서울 광진구,1,4,956
202002,서울 광진구,1,5,579
202002,서울 광진구,2,0,212
202002,서울 광진구,2,1,281
202002,서울 광진구,2,2,156
202002,서울 광진구,2,3,2085
202002,서울 광진구,2,4,1470
202002,서울 광진구,2,5,683
202002,서울 동대문구,1,0,261
202002,서울 동대문구,1,1,378
202002,서울 동대문구,1,2,233
202002,서울 동대문구,1,3,1376
202002,서울 동대문구,1,4,918
202002,서울 동대문구,1,5,650
202002,서울 동대문구,2,0,254
202002,서울 동대문구,2,1,332
202002,서울 동대문구,2,2,173
202002,서울 동대문구,2,3,2012
202002,서울 동대문구,2,4,1392
202002,서울 동대문구,2,5,807
202002,서울 중랑구,1,0,310
202002,서울 중랑구,1,1,400
202002,서울 중랑구,1,2,194
202002,서울 중랑구,1,3,1634
202002,서울 중랑구,1,4,1284
202002,서울 중랑구,1,5,842
202002,서울 중랑구,2,0,271
202002,서울 중랑구,2,1,345
202002,서울 중랑구,2,2,191
202002,서울 중랑구,2,3,2416
202002,서울 중랑구,2,4,2059
202002,서울 중랑구,2,5,1094
202002,서울 성북구,1,0,355
202002,서울 성북구,1,1,456
202002,서울 성북구,1,2,295
202002,서울 성북구,1,3,1610
202002,서울 성북구,1,4,1227
202002,서울 성북구,1,5,809
202002,서울 성북구,2,0,300
202002,서울 성북구,2,1,388
202002,서울 성북구,2,2,237
202002,서울 성북구,2,3,2449
202002,서울 성북구,2,4,1761
202002,서울 성북구,2,5,1070
202002,서울 강북구,1,0,174
202002,서울 강북구,1,1,312
202002,서울 강북구,1,2,229
202002,서울 강북구,1,3,1165
202002,서울 강북구,1,4,991
202002,서울 강북구,1,5,674
202002,서울 강북구,2,0,175
202002,서울 강북구,2,1,264
202002,서울 강북구,2,2,172
202002,서울 강북구,2,3,1638
202002,서울 강북구,2,4,1528
202002,서울 강북구,2,5,914
202002,서울 도봉구,1,0,238
202002,서울 도봉구,1,1,329
202002,서울 도봉구,1,2,239
202002,서울 도봉구,1,3,1205
202002,서울 도봉구,1,4,934
202002,서울 도봉구,1,5,685
202002,서울 도봉구,2,0,225
202002,서울 도봉구,2,1,300
202002,서울 도봉구,2,2,201
202002,서울 도봉구,2,3,1664
202002,서울 도봉구,2,4,1554
202002,서울 도봉구,2,5,850
202002,서울 노원구,1,0,388
202002,서울 노원구,1,1,633
202002,서울 노원구,1,2,541
202002,서울 노원구,1,3,2033
202002,서울 노원구,1,4,1725
202002,서울 노원구,1,5,958
202002,서울 노원구,2,0,333
202002,서울 노원구,2,1,608
202002,서울 노원구,2,2,410
202002,서울 노원구,2,3,2728
202002,서울 노원구,2,4,2529
202002,서울 노원구,2,5,1299
202002,서울 은평구,1,0,309
202002,서울 은평구,1,1,492
202002,서울 은평구,1,2,310
202002,서울 은평구,1,3,1820
202002,서울 은평구,1,4,1356
202002,서울 은평구,1,5,919
202002,서울 은평구,2,0,327
